PAIS,categoria,tasa_part,tasa_seg,tasa_reg,tasa_temp,variable_interes
Portugal,Priv,0.03016942734497301,NA,NA,0.18571053792886164,SECTOR
Portugal,Pub,0.005951252582998685,NA,NA,0.09651184164922685,SECTOR
Portugal,SD,0.3082955784940583,NA,NA,0.20146988098085877,SECTOR
Reino Unido,Priv,0.0340737756414891,NA,NA,0.014442404054914905,SECTOR
Reino Unido,Pub,0.010124874721990588,NA,NA,0.008842414817616866,SECTOR
Reino Unido,SD,0.0717985048334969,NA,NA,0.017381445411503327,SECTOR
Rumanía,Priv,0.0016758338453406697,NA,NA,0.007939137488449993,SECTOR
Rumanía,Pub,0.001964581386125688,NA,NA,0.0019522746887204972,SECTOR
Rumanía,SD,0.21455057300398467,NA,NA,0.09287701786214658,SECTOR
Suecia,Priv,0.05582146144528839,NA,NA,0.08182077225216265,SECTOR
Suecia,Pub,0.017065749096671558,NA,NA,0.06341141480222184,SECTOR
Suecia,SD,0,NA,NA,0.10881071314698693,SECTOR
Uruguay,Priv,0.06870167882959904,0.1309283431056032,NA,NA,SECTOR
Uruguay,Pub,0.04391759480027436,7.708527915883238e-4,NA,NA,SECTOR
Uruguay,SD,0.249075569373802,0.4336840534288486,NA,NA,SECTOR
Alemania,Primaria,0.05579304867837822,NA,NA,0.026829595384190663,EDUC
Alemania,Secundaria,0.0315297128374128,NA,NA,0.016188325098944134,EDUC
Alemania,Terciaria,0.01799683450420796,NA,NA,0.020999678376925655,EDUC
